"ProductID,ProductName,Category,SubCategory"
"P001,Hydraulic Pump,Industrial Equipment,Pumps"
"P002,Conveyor Belt,Industrial Equipment,Material Handling"
"P003,Steel Gear,Mechanical Parts,Gears"
"P004,Precision Valve,Mechanical Parts,Valves"
"P005,Control Panel,Electrical Systems,Panels"
"P006,Motor Assembly,Electrical Systems,Motors"
"P007,Cooling Fan,Industrial Equipment,Cooling"
"P008,Pressure Sensor,Instrumentation,Sensors"
"P009,Flow Meter,Instrumentation,Meters"
"P010,Safety Guard,Industrial Equipment,Safety"
