OrderID ,OrderDate,ShipDate,ProductID, CustomerID,RegionID,SalesRepID,Quantity ,UnitPrice,Discount,Revenue,Profit,Target,Forecast
00001,01-01-2024,08-01-2024,P003,C003,R005,S004,89,250,0.05,21137.5,6341.25,23251.25,22194.375
00002,02-01-2024,09-01-2024,P010,C004,R001,S006,70,500,0.05,33250,9975,36575,34912.5
00003,02-01-2024,09-01-2024,P009,C006,R002,S010,48,1200,0.15,48960,14688,53856,51408
00004,03-01-2024,10-01-2024,P003,C001,R006,S010,51,500,0.15,21675,6502.5,23842.5,22758.75
00005,03-01-2024,10-01-2024,P003,C006,R009,S005,95,4500,0.1,384750,115425,423225,403987.5
00006,04-01-2024,11-01-2024,P008,C009,R008,S008,50,3200,0.05,152000,45600,167200,159600
00007,04-01-2024,11-01-2024,P003,C001,R007,S004,44,4500,0.1,178200,53460,196020,187110
00008,05-01-2024,12-01-2024,P010,C002,R001,S005,51,250,0.05,12112.5,3633.75,13323.75,12718.125
00009,05-01-2024,12-01-2024,P007,C005,R006,S001,31,500,0.05,14725,4417.5,16197.5,15461.25
00010,06-01-2024,13-01-2024,P003,C006,R007,S007,95,4500,0.15,363375,109012.5,399712.5,381543.75
00011,06-01-2024,13-01-2024,P001,C007,R002,S008,45,1200,0.15,45900,13770,50490,48195
00012,07-01-2024,14-01-2024,P010,C006,R008,S009,22,4500,0.05,94050,28215,103455,98752.5
00013,07-01-2024,14-01-2024,P003,C005,R004,S010,60,500,0.15,25500,7650,28050,26775
00014,08-01-2024,15-01-2024,P006,C006,R005,S007,50,500,0,25000,7500,27500,26250
00015,08-01-2024,15-01-2024,P005,C006,R010,S003,90,500,0.15,38250,11475,42075,40162.5
00016,09-01-2024,16-01-2024,P006,C006,R006,S009,75,4500,0,337500,101250,371250,354375
00017,09-01-2024,16-01-2024,P003,C002,R006,S010,46,500,0.15,19550,5865,21505,20527.5
00018,10-01-2024,17-01-2024,P004,C010,R001,S007,46,250,0.05,10925,3277.5,12017.5,11471.25
00019,10-01-2024,17-01-2024,P007,C002,R004,S002,51,500,0.05,24225,7267.5,26647.5,25436.25
00020,11-01-2024,18-01-2024,P004,C004,R010,S002,43,250,0.15,9137.5,2741.25,10051.25,9594.375
00021,11-01-2024,18-01-2024,P008,C007,R004,S002,59,500,0.05,28025,8407.5,30827.5,29426.25
00022,12-01-2024,19-01-2024,P002,C005,R004,S005,66,4500,0.15,252450,75735,277695,265072.5
00023,12-01-2024,19-01-2024,P009,C001,R003,S006,90,3200,0.1,259200,77760,285120,272160
00024,13-01-2024,20-01-2024,P005,C005,R007,S006,87,250,0.05,20662.5,6198.75,22728.75,21695.625
00025,13-01-2024,20-01-2024,P005,C005,R002,S003,38,3200,0.1,109440,32832,120384,114912
00026,14-01-2024,21-01-2024,P001,C010,R009,S002,96,4500,0.15,367200,110160,403920,385560
00027,14-01-2024,21-01-2024,P004,C001,R010,S007,15,4500,0,67500,20250,74250,70875
00028,15-01-2024,22-01-2024,P003,C002,R005,S008,41,500,0.15,17425,5227.5,19167.5,18296.25
00029,15-01-2024,22-01-2024,P002,C004,R010,S006,88,1200,0.05,100320,30096,110352,105336
00030,16-01-2024,23-01-2024,P008,C001,R010,S001,20,4500,0.15,76500,22950,84150,80325
00031,16-01-2024,23-01-2024,P010,C007,R009,S002,38,500,0.05,18050,5415,19855,18952.5
00032,17-01-2024,24-01-2024,P004,C004,R005,S004,15,4500,0.15,57375,17212.5,63112.5,60243.75
00033,17-01-2024,24-01-2024,P002,C005,R009,S006,32,250,0.1,7200,2160,7920,7560
00034,18-01-2024,25-01-2024,P010,C001,R010,S008,56,4500,0.05,239400,71820,263340,251370
00035,18-01-2024,25-01-2024,P006,C004,R005,S007,27,3200,0,86400,25920,95040,90720
00036,19-01-2024,26-01-2024,P003,C005,R007,S003,51,1200,0.15,52020,15606,57222,54621
00037,19-01-2024,26-01-2024,P006,C010,R008,S009,20,3200,0.15,54400,16320,59840,57120
00038,20-01-2024,27-01-2024,P009,C010,R007,S002,48,250,0.15,10200,3060,11220,10710
00039,20-01-2024,27-01-2024,P005,C006,R001,S005,17,4500,0,76500,22950,84150,80325
00040,21-01-2024,28-01-2024,P001,C006,R010,S010,78,3200,0.15,212160,63648,233376,222768
00041,21-01-2024,28-01-2024,P004,C004,R010,S004,99,250,0.05,23512.5,7053.75,25863.75,24688.125
00042,22-01-2024,29-01-2024,P009,C004,R009,S010,53,3200,0,169600,50880,186560,178080
00043,22-01-2024,29-01-2024,P007,C007,R010,S003,86,3200,0.15,233920,70176,257312,245616
00044,23-01-2024,30-01-2024,P010,C005,R004,S008,70,500,0,35000,10500,38500,36750
00045,23-01-2024,30-01-2024,P008,C001,R005,S006,96,1200,0.1,103680,31104,114048,108864
00046,24-01-2024,31-01-2024,P008,C005,R005,S001,95,250,0,23750,7125,26125,24937.5
00047,24-01-2024,31-01-2024,P001,C004,R004,S004,65,1200,0.05,74100,22230,81510,77805
00048,25-01-2024,01-02-2024,P001,C001,R005,S007,19,3200,0.05,57760,17328,63536,60648
00049,25-01-2024,01-02-2024,P002,C003,R007,S001,68,1200,0,81600,24480,89760,85680
00050,26-01-2024,02-02-2024,P010,C004,R004,S009,42,4500,0,189000,56700,207900,198450
00051,26-01-2024,02-02-2024,P006,C007,R003,S003,89,250,0.05,21137.5,6341.25,23251.25,22194.375
00052,27-01-2024,03-02-2024,P006,C004,R005,S004,59,500,0,29500,8850,32450,30975
00053,27-01-2024,03-02-2024,P004,C005,R002,S003,39,4500,0,175500,52650,193050,184275
00054,28-01-2024,04-02-2024,P002,C007,R001,S006,10,4500,0.05,42750,12825,47025,44887.5
00055,28-01-2024,04-02-2024,P009,C005,R006,S003,8,4500,0.15,30600,9180,33660,32130
00056,29-01-2024,05-02-2024,P008,C005,R001,S001,64,1200,0.1,69120,20736,76032,72576
00057,29-01-2024,05-02-2024,P001,C003,R010,S002,26,3200,0,83200,24960,91520,87360
